,index,speaker,sent_sv,sent_en,sent_idx,paragraph_text_sv,paragraph_text_en,paragraph_idx
11,11,Statsminister Magdalena Andersson (S),Och till alla som har tagit två doser: Ta den tredje när du får möjlighet!,And to everyone who has taken two doses: Take the third when you get the chance!,5,"Regeringen inför inte nya restriktioner lättvindigt. Men i det här läget måste smittspridningen ned, och vi behöver alla hjälpas åt. Här vet vi att vaccinet är vårt mest verkningsfulla verktyg mot allvarlig sjukdom. De flesta som ligger på iva är inte fullvaccinerade. Därför vill jag rikta en tydlig uppmaning till dig som ännu inte har tagit vaccinet: Gör det nu! Och till alla som har tagit två doser: Ta den tredje när du får möjlighet!","The government does not introduce new restrictions lightly. But in this situation, the spread of infection must go down, and we all need help. Here we know that the vaccine is our most effective tool against serious illness. Most people who are on IVA are not fully vaccinated. Therefore, I would like to send a clear appeal to you who have not yet taken the vaccine: Do it now! And to everyone who has taken two doses: Take the third when you get the chance!",2
13,13,Statsminister Magdalena Andersson (S),Parallellt med smittspridningen ökar också spänningarna i vår omvärld.,"In parallel with the spread of infection, tensions in our surrounding world are also increasing.",1,Fru talman! Parallellt med smittspridningen ökar också spänningarna i vår omvärld. Rysslands militära agerande och dess politiska utspel är oroväckande och skärper det försämrade säkerhetspolitiska läget i vårt närområde. Flera av de krav som förs fram av den ryska ledningen utmanar kärnan i den europeiska säkerhetsordningen.,"Madam President! In parallel with the spread of infection, tensions in our surrounding world are also increasing. Russia&#39;s military action and its political outbursts are worrying and exacerbate the deteriorating security situation in our immediate area. Several of the demands put forward by the Russian leadership challenge the core of the European security system.",3
14,14,Statsminister Magdalena Andersson (S),Rysslands militära agerande och dess politiska utspel är oroväckande och skärper det försämrade säkerhetspolitiska läget i vårt närområde.,Russia&#39;s military action and its political outbursts are worrying and exacerbate the deteriorating security situation in our immediate area.,2,Fru talman! Parallellt med smittspridningen ökar också spänningarna i vår omvärld. Rysslands militära agerande och dess politiska utspel är oroväckande och skärper det försämrade säkerhetspolitiska läget i vårt närområde. Flera av de krav som förs fram av den ryska ledningen utmanar kärnan i den europeiska säkerhetsordningen.,"Madam President! In parallel with the spread of infection, tensions in our surrounding world are also increasing. Russia&#39;s military action and its political outbursts are worrying and exacerbate the deteriorating security situation in our immediate area. Several of the demands put forward by the Russian leadership challenge the core of the European security system.",3
15,15,Statsminister Magdalena Andersson (S),Flera av de krav som förs fram av den ryska ledningen utmanar kärnan i den europeiska säkerhetsordningen.,Several of the demands put forward by the Russian leadership challenge the core of the European security system.,3,Fru talman! Parallellt med smittspridningen ökar också spänningarna i vår omvärld. Rysslands militära agerande och dess politiska utspel är oroväckande och skärper det försämrade säkerhetspolitiska läget i vårt närområde. Flera av de krav som förs fram av den ryska ledningen utmanar kärnan i den europeiska säkerhetsordningen.,"Madam President! In parallel with the spread of infection, tensions in our surrounding world are also increasing. Russia&#39;s military action and its political outbursts are worrying and exacerbate the deteriorating security situation in our immediate area. Several of the demands put forward by the Russian leadership challenge the core of the European security system.",3
16,16,Statsminister Magdalena Andersson (S),Låt mig vara glasklar.,Let me be crystal clear.,0,"Låt mig vara glasklar. Den europeiska säkerhetsordningen är inte förhandlingsbar. I Sverige bestämmer vi själva över vår utrikes- och säkerhetspolitik. Vi bestämmer vilka vi väljer att samarbeta med. Den rätten har Sverige, och den rätten har alla stater.","Let me be crystal clear. The European security regime is non-negotiable. In Sweden, we decide for ourselves on our foreign and security policy. We decide who we choose to work with. Sweden has that right, and all states have that right.",4
17,17,Statsminister Magdalena Andersson (S),Den europeiska säkerhetsordningen är inte förhandlingsbar.,The European security regime is non-negotiable.,1,"Låt mig vara glasklar. Den europeiska säkerhetsordningen är inte förhandlingsbar. I Sverige bestämmer vi själva över vår utrikes- och säkerhetspolitik. Vi bestämmer vilka vi väljer att samarbeta med. Den rätten har Sverige, och den rätten har alla stater.","Let me be crystal clear. The European security regime is non-negotiable. In Sweden, we decide for ourselves on our foreign and security policy. We decide who we choose to work with. Sweden has that right, and all states have that right.",4
18,18,Statsminister Magdalena Andersson (S),I Sverige bestämmer vi själva över vår utrikes- och säkerhetspolitik.,"In Sweden, we decide for ourselves on our foreign and security policy.",2,"Låt mig vara glasklar. Den europeiska säkerhetsordningen är inte förhandlingsbar. I Sverige bestämmer vi själva över vår utrikes- och säkerhetspolitik. Vi bestämmer vilka vi väljer att samarbeta med. Den rätten har Sverige, och den rätten har alla stater.","Let me be crystal clear. The European security regime is non-negotiable. In Sweden, we decide for ourselves on our foreign and security policy. We decide who we choose to work with. Sweden has that right, and all states have that right.",4
19,19,Statsminister Magdalena Andersson (S),Vi bestämmer vilka vi väljer att samarbeta med.,We decide who we choose to work with.,3,"Låt mig vara glasklar. Den europeiska säkerhetsordningen är inte förhandlingsbar. I Sverige bestämmer vi själva över vår utrikes- och säkerhetspolitik. Vi bestämmer vilka vi väljer att samarbeta med. Den rätten har Sverige, och den rätten har alla stater.","Let me be crystal clear. The European security regime is non-negotiable. In Sweden, we decide for ourselves on our foreign and security policy. We decide who we choose to work with. Sweden has that right, and all states have that right.",4
20,20,Statsminister Magdalena Andersson (S),"Den rätten har Sverige, och den rätten har alla stater.","Sweden has that right, and all states have that right.",4,"Låt mig vara glasklar. Den europeiska säkerhetsordningen är inte förhandlingsbar. I Sverige bestämmer vi själva över vår utrikes- och säkerhetspolitik. Vi bestämmer vilka vi väljer att samarbeta med. Den rätten har Sverige, och den rätten har alla stater.","Let me be crystal clear. The European security regime is non-negotiable. In Sweden, we decide for ourselves on our foreign and security policy. We decide who we choose to work with. Sweden has that right, and all states have that right.",4
21,21,Statsminister Magdalena Andersson (S),Regeringen för en nära dialog med våra samarbetspartner.,The government maintains a close dialogue with our partners.,0,"Regeringen för en nära dialog med våra samarbetspartner. Under förra veckan samtalade jag med Finlands president och Natos generalsekreterare. Regeringen för även samtal med den amerikanska administrationen, inom EU och med andra partner. Det är centralt att vi är delaktiga i diskussionerna om den europeiska säkerhetsordningens framtid. EU, Nato och G7 har också formulerat samstämmiga budskap som reaktion på de ryska utspelen.","The government maintains a close dialogue with our partners. Last week, I spoke with the President of Finland and the Secretary General of NATO. The government is also in talks with the US administration, within the EU and with other partners. It is crucial that we take part in the discussions on the future of the European security system. The EU, NATO and the G7 have also formulated consistent messages in response to the Russian measures.",5
22,22,Statsminister Magdalena Andersson (S),Under förra veckan samtalade jag med Finlands president och Natos generalsekreterare.,"Last week, I spoke with the President of Finland and the Secretary General of NATO.",1,"Regeringen för en nära dialog med våra samarbetspartner. Under förra veckan samtalade jag med Finlands president och Natos generalsekreterare. Regeringen för även samtal med den amerikanska administrationen, inom EU och med andra partner. Det är centralt att vi är delaktiga i diskussionerna om den europeiska säkerhetsordningens framtid. EU, Nato och G7 har också formulerat samstämmiga budskap som reaktion på de ryska utspelen.","The government maintains a close dialogue with our partners. Last week, I spoke with the President of Finland and the Secretary General of NATO. The government is also in talks with the US administration, within the EU and with other partners. It is crucial that we take part in the discussions on the future of the European security system. The EU, NATO and the G7 have also formulated consistent messages in response to the Russian measures.",5
23,23,Statsminister Magdalena Andersson (S),"Regeringen för även samtal med den amerikanska administrationen, inom EU och med andra partner.","The government is also in talks with the US administration, within the EU and with other partners.",2,"Regeringen för en nära dialog med våra samarbetspartner. Under förra veckan samtalade jag med Finlands president och Natos generalsekreterare. Regeringen för även samtal med den amerikanska administrationen, inom EU och med andra partner. Det är centralt att vi är delaktiga i diskussionerna om den europeiska säkerhetsordningens framtid. EU, Nato och G7 har också formulerat samstämmiga budskap som reaktion på de ryska utspelen.","The government maintains a close dialogue with our partners. Last week, I spoke with the President of Finland and the Secretary General of NATO. The government is also in talks with the US administration, within the EU and with other partners. It is crucial that we take part in the discussions on the future of the European security system. The EU, NATO and the G7 have also formulated consistent messages in response to the Russian measures.",5
24,24,Statsminister Magdalena Andersson (S),Det är centralt att vi är delaktiga i diskussionerna om den europeiska säkerhetsordningens framtid.,It is crucial that we take part in the discussions on the future of the European security system.,3,"Regeringen för en nära dialog med våra samarbetspartner. Under förra veckan samtalade jag med Finlands president och Natos generalsekreterare. Regeringen för även samtal med den amerikanska administrationen, inom EU och med andra partner. Det är centralt att vi är delaktiga i diskussionerna om den europeiska säkerhetsordningens framtid. EU, Nato och G7 har också formulerat samstämmiga budskap som reaktion på de ryska utspelen.","The government maintains a close dialogue with our partners. Last week, I spoke with the President of Finland and the Secretary General of NATO. The government is also in talks with the US administration, within the EU and with other partners. It is crucial that we take part in the discussions on the future of the European security system. The EU, NATO and the G7 have also formulated consistent messages in response to the Russian measures.",5
25,25,Statsminister Magdalena Andersson (S),"EU, Nato och G7 har också formulerat samstämmiga budskap som reaktion på de ryska utspelen.","The EU, NATO and the G7 have also formulated consistent messages in response to the Russian measures.",4,"Regeringen för en nära dialog med våra samarbetspartner. Under förra veckan samtalade jag med Finlands president och Natos generalsekreterare. Regeringen för även samtal med den amerikanska administrationen, inom EU och med andra partner. Det är centralt att vi är delaktiga i diskussionerna om den europeiska säkerhetsordningens framtid. EU, Nato och G7 har också formulerat samstämmiga budskap som reaktion på de ryska utspelen.","The government maintains a close dialogue with our partners. Last week, I spoke with the President of Finland and the Secretary General of NATO. The government is also in talks with the US administration, within the EU and with other partners. It is crucial that we take part in the discussions on the future of the European security system. The EU, NATO and the G7 have also formulated consistent messages in response to the Russian measures.",5
26,26,Statsminister Magdalena Andersson (S),Det är angeläget för regeringen att riksdagen får kännedom om Sveriges säkerhetspolitiska situation.,It is important for the government that the Riksdag becomes aware of Sweden&#39;s security policy situation.,0,Det är angeläget för regeringen att riksdagen får kännedom om Sveriges säkerhetspolitiska situation. Det är mot den bakgrunden som jag i eftermiddag kommer att informera partiledarna om det aktuella läget och hur regeringen agerar.,It is important for the government that the Riksdag becomes aware of Sweden&#39;s security policy situation. It is against this background that this afternoon I will inform the party leaders about the current situation and how the government is acting.,6
27,27,Statsminister Magdalena Andersson (S),Det är mot den bakgrunden som jag i eftermiddag kommer att informera partiledarna om det aktuella läget och hur regeringen agerar.,It is against this background that this afternoon I will inform the party leaders about the current situation and how the government is acting.,1,Det är angeläget för regeringen att riksdagen får kännedom om Sveriges säkerhetspolitiska situation. Det är mot den bakgrunden som jag i eftermiddag kommer att informera partiledarna om det aktuella läget och hur regeringen agerar.,It is important for the government that the Riksdag becomes aware of Sweden&#39;s security policy situation. It is against this background that this afternoon I will inform the party leaders about the current situation and how the government is acting.,6
28,28,Statsminister Magdalena Andersson (S),Låt mig här i kammaren också framhålla att regeringen bedriver en aktiv diplomati.,Let me also point out in this House that the government is actively pursuing diplomacy.,0,"Låt mig här i kammaren också framhålla att regeringen bedriver en aktiv diplomati. Vi är konsekvent tydliga med Sveriges budskap. I grunden handlar det om rätten att försvara vår suveränitet, vår frihet och vår rätt att leva som vi själva bestämmer. Det handlar om rätten att försvara vår demokrati.","Let me also point out in this House that the government is actively pursuing diplomacy. We are consistently clear with Sweden&#39;s message. It is basically about the right to defend our sovereignty, our freedom and our right to live as we decide. It is about the right to defend our democracy.",7
29,29,Statsminister Magdalena Andersson (S),Vi är konsekvent tydliga med Sveriges budskap.,We are consistently clear with Sweden&#39;s message.,1,"Låt mig här i kammaren också framhålla att regeringen bedriver en aktiv diplomati. Vi är konsekvent tydliga med Sveriges budskap. I grunden handlar det om rätten att försvara vår suveränitet, vår frihet och vår rätt att leva som vi själva bestämmer. Det handlar om rätten att försvara vår demokrati.","Let me also point out in this House that the government is actively pursuing diplomacy. We are consistently clear with Sweden&#39;s message. It is basically about the right to defend our sovereignty, our freedom and our right to live as we decide. It is about the right to defend our democracy.",7
30,30,Statsminister Magdalena Andersson (S),"I grunden handlar det om rätten att försvara vår suveränitet, vår frihet och vår rätt att leva som vi själva bestämmer.","It is basically about the right to defend our sovereignty, our freedom and our right to live as we decide.",2,"Låt mig här i kammaren också framhålla att regeringen bedriver en aktiv diplomati. Vi är konsekvent tydliga med Sveriges budskap. I grunden handlar det om rätten att försvara vår suveränitet, vår frihet och vår rätt att leva som vi själva bestämmer. Det handlar om rätten att försvara vår demokrati.","Let me also point out in this House that the government is actively pursuing diplomacy. We are consistently clear with Sweden&#39;s message. It is basically about the right to defend our sovereignty, our freedom and our right to live as we decide. It is about the right to defend our democracy.",7
31,31,Statsminister Magdalena Andersson (S),Det handlar om rätten att försvara vår demokrati.,It is about the right to defend our democracy.,3,"Låt mig här i kammaren också framhålla att regeringen bedriver en aktiv diplomati. Vi är konsekvent tydliga med Sveriges budskap. I grunden handlar det om rätten att försvara vår suveränitet, vår frihet och vår rätt att leva som vi själva bestämmer. Det handlar om rätten att försvara vår demokrati.","Let me also point out in this House that the government is actively pursuing diplomacy. We are consistently clear with Sweden&#39;s message. It is basically about the right to defend our sovereignty, our freedom and our right to live as we decide. It is about the right to defend our democracy.",7
33,33,Statsminister Magdalena Andersson (S),I höst är det återigen dags för demokratins högtidsdag här i Sverige.,"This autumn, it&#39;s time again for the feast day of democracy here in Sweden.",1,"Fru talman! I höst är det återigen dags för demokratins högtidsdag här i Sverige. Söndagen den 11 september samlas människor från norr till söder för att välja politisk riktning för vårt land. Demokratin är det verktyg som har byggt Sverige till det fantastiska land som vi känner - ett land med starka normer om rättvisa, jämlikhet och jämställdhet och ett land med en kraftfullt omfördelande välfärd, byggt på både plikt och rätt. Det är ett Sverige som jag och så många med mig är otroligt stolta över.","Madam President! This autumn, it&#39;s time again for the feast day of democracy here in Sweden. On Sunday, September 11, people will gather from north to south to choose the political direction for our country. Democracy is the tool that has built Sweden into the fantastic country we know - a country with strong norms of justice, equality and gender equality and a country with a powerful redistributive welfare, built on both duty and justice. It is a Sweden that I and so many with me are incredibly proud of.",8
34,34,Statsminister Magdalena Andersson (S),Söndagen den 11 september samlas människor från norr till söder för att välja politisk riktning för vårt land.,"On Sunday, September 11, people will gather from north to south to choose the political direction for our country.",2,"Fru talman! I höst är det återigen dags för demokratins högtidsdag här i Sverige. Söndagen den 11 september samlas människor från norr till söder för att välja politisk riktning för vårt land. Demokratin är det verktyg som har byggt Sverige till det fantastiska land som vi känner - ett land med starka normer om rättvisa, jämlikhet och jämställdhet och ett land med en kraftfullt omfördelande välfärd, byggt på både plikt och rätt. Det är ett Sverige som jag och så många med mig är otroligt stolta över.","Madam President! This autumn, it&#39;s time again for the feast day of democracy here in Sweden. On Sunday, September 11, people will gather from north to south to choose the political direction for our country. Democracy is the tool that has built Sweden into the fantastic country we know - a country with strong norms of justice, equality and gender equality and a country with a powerful redistributive welfare, built on both duty and justice. It is a Sweden that I and so many with me are incredibly proud of.",8
35,35,Statsminister Magdalena Andersson (S),"Demokratin är det verktyg som har byggt Sverige till det fantastiska land som vi känner - ett land med starka normer om rättvisa, jämlikhet och jämställdhet och ett land med en kraftfullt omfördelande välfärd, byggt på både plikt och rätt.","Democracy is the tool that has built Sweden into the fantastic country we know - a country with strong norms of justice, equality and gender equality and a country with a powerful redistributive welfare, built on both duty and justice.",3,"Fru talman! I höst är det återigen dags för demokratins högtidsdag här i Sverige. Söndagen den 11 september samlas människor från norr till söder för att välja politisk riktning för vårt land. Demokratin är det verktyg som har byggt Sverige till det fantastiska land som vi känner - ett land med starka normer om rättvisa, jämlikhet och jämställdhet och ett land med en kraftfullt omfördelande välfärd, byggt på både plikt och rätt. Det är ett Sverige som jag och så många med mig är otroligt stolta över.","Madam President! This autumn, it&#39;s time again for the feast day of democracy here in Sweden. On Sunday, September 11, people will gather from north to south to choose the political direction for our country. Democracy is the tool that has built Sweden into the fantastic country we know - a country with strong norms of justice, equality and gender equality and a country with a powerful redistributive welfare, built on both duty and justice. It is a Sweden that I and so many with me are incredibly proud of.",8
36,36,Statsminister Magdalena Andersson (S),Det är ett Sverige som jag och så många med mig är otroligt stolta över.,It is a Sweden that I and so many with me are incredibly proud of.,4,"Fru talman! I höst är det återigen dags för demokratins högtidsdag här i Sverige. Söndagen den 11 september samlas människor från norr till söder för att välja politisk riktning för vårt land. Demokratin är det verktyg som har byggt Sverige till det fantastiska land som vi känner - ett land med starka normer om rättvisa, jämlikhet och jämställdhet och ett land med en kraftfullt omfördelande välfärd, byggt på både plikt och rätt. Det är ett Sverige som jag och så många med mig är otroligt stolta över.","Madam President! This autumn, it&#39;s time again for the feast day of democracy here in Sweden. On Sunday, September 11, people will gather from north to south to choose the political direction for our country. Democracy is the tool that has built Sweden into the fantastic country we know - a country with strong norms of justice, equality and gender equality and a country with a powerful redistributive welfare, built on both duty and justice. It is a Sweden that I and so many with me are incredibly proud of.",8
37,37,Statsminister Magdalena Andersson (S),"Men, fru talman, jag ser också att vårt land har allvarliga problem: segregationen, skjutningarna och våldet, klimatförändringarna och krafter i välfärden som sätter vinst framför våra barns och äldres bästa.","But, Madam President, I also see that our country has serious problems: segregation, the shootings and the violence, the climate change and the forces of welfare that put profit before the best interests of our children and the elderly.",0,"Men, fru talman, jag ser också att vårt land har allvarliga problem: segregationen, skjutningarna och våldet, klimatförändringarna och krafter i välfärden som sätter vinst framför våra barns och äldres bästa. Men problem går att lösa. Vårt land har tagit sig an stora utmaningar förut. Sverige kan göra det igen, och Sverige ska göra det igen - för Sverige kan bättre.","But, Madam President, I also see that our country has serious problems: segregation, the shootings and the violence, the climate change and the forces of welfare that put profit before the best interests of our children and the elderly. But problems can be solved. Our country has taken on major challenges before. Sweden can do it again, and Sweden must do it again - because Sweden can do better.",9
38,38,Statsminister Magdalena Andersson (S),Men problem går att lösa.,But problems can be solved.,1,"Men, fru talman, jag ser också att vårt land har allvarliga problem: segregationen, skjutningarna och våldet, klimatförändringarna och krafter i välfärden som sätter vinst framför våra barns och äldres bästa. Men problem går att lösa. Vårt land har tagit sig an stora utmaningar förut. Sverige kan göra det igen, och Sverige ska göra det igen - för Sverige kan bättre.","But, Madam President, I also see that our country has serious problems: segregation, the shootings and the violence, the climate change and the forces of welfare that put profit before the best interests of our children and the elderly. But problems can be solved. Our country has taken on major challenges before. Sweden can do it again, and Sweden must do it again - because Sweden can do better.",9
39,39,Statsminister Magdalena Andersson (S),Vårt land har tagit sig an stora utmaningar förut.,Our country has taken on major challenges before.,2,"Men, fru talman, jag ser också att vårt land har allvarliga problem: segregationen, skjutningarna och våldet, klimatförändringarna och krafter i välfärden som sätter vinst framför våra barns och äldres bästa. Men problem går att lösa. Vårt land har tagit sig an stora utmaningar förut. Sverige kan göra det igen, och Sverige ska göra det igen - för Sverige kan bättre.","But, Madam President, I also see that our country has serious problems: segregation, the shootings and the violence, the climate change and the forces of welfare that put profit before the best interests of our children and the elderly. But problems can be solved. Our country has taken on major challenges before. Sweden can do it again, and Sweden must do it again - because Sweden can do better.",9
40,40,Statsminister Magdalena Andersson (S),"Sverige kan göra det igen, och Sverige ska göra det igen - för Sverige kan bättre.","Sweden can do it again, and Sweden must do it again - because Sweden can do better.",3,"Men, fru talman, jag ser också att vårt land har allvarliga problem: segregationen, skjutningarna och våldet, klimatförändringarna och krafter i välfärden som sätter vinst framför våra barns och äldres bästa. Men problem går att lösa. Vårt land har tagit sig an stora utmaningar förut. Sverige kan göra det igen, och Sverige ska göra det igen - för Sverige kan bättre.","But, Madam President, I also see that our country has serious problems: segregation, the shootings and the violence, the climate change and the forces of welfare that put profit before the best interests of our children and the elderly. But problems can be solved. Our country has taken on major challenges before. Sweden can do it again, and Sweden must do it again - because Sweden can do better.",9
42,42,Statsminister Magdalena Andersson (S),Det handlar om den respekt som vårt samhälle måste bygga på.,It is about the respect on which our society must be built.,1,"Fru talman! Det handlar om den respekt som vårt samhälle måste bygga på. Det handlar om respekt för varandra och för framtida generationer. Det handlar om respekt för dig, för dig som arbetar och betalar skatt, för dig som har gått i pension eller för dig som är sjuk och inget hellre vill än att kunna bli frisk och arbeta igen.","Madam President! It is about the respect on which our society must be built. It is about respect for each other and for future generations. It is about respect for you, for you who work and pay taxes, for you who have retired or for you who are ill and want nothing better than to be able to get well and work again.",10
43,43,Statsminister Magdalena Andersson (S),Det handlar om respekt för varandra och för framtida generationer.,It is about respect for each other and for future generations.,2,"Fru talman! Det handlar om den respekt som vårt samhälle måste bygga på. Det handlar om respekt för varandra och för framtida generationer. Det handlar om respekt för dig, för dig som arbetar och betalar skatt, för dig som har gått i pension eller för dig som är sjuk och inget hellre vill än att kunna bli frisk och arbeta igen.","Madam President! It is about the respect on which our society must be built. It is about respect for each other and for future generations. It is about respect for you, for you who work and pay taxes, for you who have retired or for you who are ill and want nothing better than to be able to get well and work again.",10
