Index,speaker,label_m,comment_m,label_j,comment_j,sent_sv,sent_en,sent_idx,paragraph_idx,comment_translation
70,Ulf Kristersson (M),0,,0,,Precis som vi i Sverige nu påminns om att den yttre säkerheten är på mycket stort allvar är det hög tid att inse att den mest akuta politiska uppgiften just nu handlar om Sveriges inre säkerhet.,"Just as we in Sweden are now reminded that external security is very serious, it is high time to realize that the most urgent political task right now is about Sweden&#39;s internal security.",1,2,
71,Ulf Kristersson (M),1,,1,,"Politiken ska verkligen inte göra allt, men det finns saker som bara politiken kan göra.","Politics really should not do everything, but there are things that only politics can do.",0,3,
72,Ulf Kristersson (M),1,,1,,"Statens kärnuppgifter, inre och yttre säkerhet, är politikens allra största ansvar.","The state&#39;s core tasks, internal and external security, are the policy&#39;s greatest responsibility.",1,3,
73,Ulf Kristersson (M),1,,0,OPINION,Misslyckas man här har man misslyckats med allt.,"If you fail here, you have failed with everything.",2,3,
74,Ulf Kristersson (M),0,,0,OPINION,"Att de kommande två mandatperioderna återupprätta Sveriges inre säkerhet är en uppgift som ytterst handlar om frihet och trygghet, om jämlikhet och jämställdhet och om moral och anständighet.","The restoration of Sweden&#39;s internal security in the next two terms of office is a task that is ultimately about freedom and security, about equality and gender equality and about morality and decency.",0,4,
75,Ulf Kristersson (M),0,,0,,"Oavsett om du bor i ett socialt utsatt område, driver ett familjeföretag eller har skolbarn som vill gå hem själva ska du kunna lita på att i Sverige klarar ordningsmakten av den inre säkerheten.","Regardless of whether you live in a socially vulnerable area, run a family business or have school children who want to go home on their own, you should be able to trust that in Sweden, law enforcement manages internal security.",1,4,
76,Ulf Kristersson (M),0,,0,,"Sverige får inte bli ett land där man anpassar sin vardag efter risken för hot, våld och trakasserier.","Sweden must not become a country where you adapt your everyday life to the risk of threats, violence and harassment.",0,5,
77,Ulf Kristersson (M),1,,1,,Men nu kallas Sverige för Europas farligaste land.,But now Sweden is called Europe&#39;s most dangerous country.,1,5,
78,Ulf Kristersson (M),1,,1,,Socialdemokraternas löfte om fler poliser ledde till att polistätheten nu är lägre än 2014.,The Social Democrats&#39; promise of more police officers led to the police density now being lower than in 2014.,0,6,
79,Ulf Kristersson (M),1,,1,,"Det årliga löftet om att knäcka gängen ledde till 1 672 skjutningar på fem år, 750 nu ouppklarade mord och en helt förfärlig ökning av antalet ungdomar som utsätts för brutala rån.","The annual promise to crack the gangs led to 1,672 shootings in five years, 750 now unsolved murders and a terrible increase in the number of young people exposed to brutal robberies.",1,6,
80,Ulf Kristersson (M),1,,1,,Sverige är nu det växande utanförskapets land.,Sweden is now the country of growing exclusion.,0,7,
81,Ulf Kristersson (M),1,,1,,Löftet om EU:s lägsta arbetslöshet ledde till EU:s fjärde högsta.,The promise of the EU&#39;s lowest unemployment rate led to the EU&#39;s fourth highest.,1,7,
82,Ulf Kristersson (M),1,,1,,Varannan vuxen invandrare kan inte försörja sig själv.,Every second adult immigrant cannot support themselves.,2,7,
83,Ulf Kristersson (M),1,,1,SUBJECTIVE,Det urgamla socialdemokratiska löftet om ökad jämlikhet har under Magdalena Anderssons tid som finans- och statsminister lett till ökad ojämlikhet eftersom orimligt många aldrig börjar jobba utan lever på bidrag.,"During Magdalena Andersson&#39;s time as Minister of Finance and Prime Minister, the old Social Democratic promise of increased equality has led to increased inequality because unreasonably many never start working but live on benefits.",0,8,
84,Ulf Kristersson (M),1,,1,,"Nu vill Socialdemokraterna minska ojämlikheten igen, men inte genom att fler börjar försörja sig själva utan genom att de som redan gör det ska betala mer i skatt.","Now the Social Democrats want to reduce inequality again, but not by more people starting to support themselves but by those who already do so having to pay more in taxes.",1,8,
85,Ulf Kristersson (M),1,,1,,Sverige är nu elbristens och energikrisens land.,Sweden is now the country of the electricity shortage and the energy crisis.,0,9,
86,Ulf Kristersson (M),1,,1,,Löftet att ta ledartröjan i klimatomställningen gick bokstavligt talat upp i rök när reservkraftverket i Karlshamn brände 140 000 liter olja i timmen.,"The promise to take the lead in climate change literally went up in smoke when the reserve power plant in Karlshamn burned 140,000 liters of oil per hour.",1,9,
87,Ulf Kristersson (M),1,,1,,Samtidigt åkte statsministern till Bryssel och vägrade försvara den svenska kärnkraften.,"At the same time, the Prime Minister went to Brussels and refused to defend Swedish nuclear power.",2,9,
88,Ulf Kristersson (M),1,,1,,Hushållen kämpar nu med extremt höga elpriser.,Households are now struggling with extremely high electricity prices.,0,10,
89,Ulf Kristersson (M),1,,1,,Familjer kan inte ha normal rumstemperatur av rädsla för kostnaden.,Families can not have normal room temperature for fear of the cost.,1,10,
90,Ulf Kristersson (M),1,,1,,Andra tvingas ta banklån när elräkningen fördubblas eller tredubblas.,Others are forced to take out bank loans when the electricity bill is doubled or tripled.,2,10,
91,Ulf Kristersson (M),1,,1,,Moderaterna vill slopa hela elskatten under denna kalla vinter.,The moderates want to get rid of the entire electricity tax during this cold winter.,0,11,
92,Ulf Kristersson (M),1,,1,,"Man kunde ha bundit sitt elpris, var statsministerns tips till svenska folket.","You could have tied your electricity price, was the Prime Minister&#39;s tip to the Swedish people.",1,11,
93,Ulf Kristersson (M),0,,0,,Denna rätt bistra verklighet leder fram till en mer hoppingivande slutsats: Inte fyra år till!,This rather harsh reality leads to a more hopeful conclusion: Not four more years!,0,12,
94,Ulf Kristersson (M),0,,0,,Sverige behöver nu förändring.,Sweden now needs change.,1,12,
95,Ulf Kristersson (M),0,,0,,Fru talman!,Madam President!,0,13,
96,Ulf Kristersson (M),1,,1,,"När Socialdemokraterna sätter ord på Sveriges problem är det inte gängmedlemmarna, hedersförtryckarna, ungdomsrånarna eller bidragsutnyttjarna som de verkligen vill komma åt utan som vanligt småsparare, löntagare och hårt arbetande företagare.","When the Social Democrats put words to Sweden&#39;s problems, it is not the gang members, the oppressors of honor, the youth robbers or the benefit users that they really want to access, but as usual small savers, wage earners and hard-working entrepreneurs.",1,13,
97,Ulf Kristersson (M),1,Needs previous context,0,,"Och vapnet är bekant: Höj skatten - på arbete, på sparande, på kapital, det vill säga bostäder.","And the weapon is familiar: Raise taxes - on work, on savings, on capital, that is, housing.",2,13,
98,Ulf Kristersson (M),1,Needs previous context,1,NEED_CONTEXT,De är påhejade av Vänsterpartiet och Miljöpartiet.,They are encouraged by the Left Party and the Green Party.,3,13,
99,Ulf Kristersson (M),1,,1,NEED_CONTEXT,Nu vill de också skaffa sig demokratisk kontroll över välfärden.,Now they also want to gain democratic control over welfare.,0,14,
100,Ulf Kristersson (M),0,,0,,"Smaka på den, alla ni som själva vill välja skola till era barn eller boende tillsammans med era gamla föräldrar!","Taste it, all of you who want to choose a school for your children or residents together with your old parents!",1,14,
101,Ulf Kristersson (M),1,,0,OPINION,"Socialdemokraterna vill ha makten, inte att du ska ha makten.","The Social Democrats want power, not that you should have power.",2,14,
102,Ulf Kristersson (M),0,,0,,När vi moderater säger att vi vill få ordning på Sverige tänker vi i första hand på dem som far mest illa.,"When we moderates say that we want order in Sweden, we think primarily of those who are doing the worst.",0,15,
103,Ulf Kristersson (M),0,,0,,Vi tänker på dem som bor där man drabbas hårdast av utanförskap och bidragsberoende.,We are thinking of those who live where they are hardest hit by exclusion and dependency on benefits.,1,15,
104,Ulf Kristersson (M),0,,0,OPINION,De som lever där problemen är störst har rätt att kräva politik som fungerar.,Those who live where the problems are greatest have the right to demand policies that work.,2,15,
105,Ulf Kristersson (M),0,,0,OPINION,De har rätt till en poliskår som är på plats och som respekteras.,They have the right to a police force that is in place and that is respected.,3,15,
106,Ulf Kristersson (M),0,,0,OPINION,De har rätt till en rättsstat som straffar brottslingar och ger brottsoffer upprättelse.,They have the right to a state governed by the rule of law that punishes criminals and redress victims.,4,15,
107,Ulf Kristersson (M),0,,0,OPINION,De har rätt till ett politiskt ledarskap som står upp för arbetslinjen så att det aldrig lönar sig mer att stapla bidrag på varandra än att gå till jobbet varje morgon.,They have the right to a political leadership that stands up for the line of work so that it never pays more to stack contributions on top of each other than to go to work every morning.,5,15,
108,Ulf Kristersson (M),0,,0,OPINION,"De har rätt till hoppfullhet, inte bara till hopp om framtiden utan till hopp om nutiden.","They have the right to hope, not only to hope for the future but to hope for the present.",6,15,
109,Ulf Kristersson (M),1,Partly checkworthy,0,OPINION,"De svenska företagen, som ger oss välstånd i tuff konkurrens med hela världen, har rätt till enklare regler, till rimliga tillståndsprocesser och till pålitlig energiförsörjning som inte är beroende av att det blåser.","The Swedish companies, which give us prosperity in tough competition with the whole world, have the right to simpler rules, to reasonable permit processes and to a reliable energy supply that is not dependent on it blowing.",0,16,
110,Ulf Kristersson (M),0,,0,OPINION,"De som är barn i dag, och sedan deras barn, har rätt att ärva en planet där vi agerar så att vi klarar klimatmålen, inte en planet där vi mest pratar om att vi borde göra det.","Those who are children today, and then their children, have the right to inherit a planet where we act so that we meet the climate goals, not a planet where we mostly talk about that we should do it.",1,16,
111,Ulf Kristersson (M),0,,1,,"Nu har vi prövat det här gänget i två mandatperioder - Socialdemokraterna och deras stödpartier, med och utan olika avtal.","We have now tried this gang for two terms - the Social Democrats and their support parties, with and without different agreements.",0,17,
112,Ulf Kristersson (M),0,,0,,Det går bara inte fyra år till!,It just does not take another four years!,1,17,Questionable translation
113,Ulf Kristersson (M),0,,0,,"Därför behöver Sverige en ny regering, en regering som tar samhällsproblemen på riktigt stort allvar och som både kan och vill få ordning på Sverige.","That is why Sweden needs a new government, a government that takes societal problems very seriously and that can and wants to get Sweden in order.",2,17,
114,Ulf Kristersson (M),0,,0,,(Applåder),(Applause),0,18,
115,Jimmie Åkesson (SD),0,,0,,Fru talman!,Madam President!,0,0,
116,Jimmie Åkesson (SD),0,Factual but uninteresting,1,,Sverigedemokraterna kommer i dag att anmäla statsministern till riksdagens konstitutionsutskott.,The Sweden Democrats will today report the Prime Minister to the Riksdag&#39;s constitutional committee.,1,0,
117,Jimmie Åkesson (SD),0,,0,,Jag skulle vilja ägna de här fem minuterna åt att läsa delar av denna anmälan.,I would like to spend these five minutes reading parts of this report.,2,0,
118,Jimmie Åkesson (SD),0,Factual but uninteresting,0,,Rubriken är Granskning av regeringens hantering av beslut om föreskrifter enligt pandemilagen.,The title is Review of the Government&#39;s handling of decisions on regulations under the Pandemic Act.,3,0,
119,Jimmie Åkesson (SD),0,,1,,"Sverige har gått igenom en ansträngningarnas tid där vår sammanhållning, våra samhällsfunktioner och vårt tålamod har satts på prov.","Sweden has gone through a period of effort where our cohesion, our societal functions and our patience have been put to the test.",0,1,
120,Jimmie Åkesson (SD),0,,1,,För somliga har ansträngningarna varit större än för andra.,"For some, the effort has been greater than for others.",1,1,
121,Jimmie Åkesson (SD),1,,1,,Pandemin har blottlagt kända försummelser av sjuk- och äldrevården som borde ha åtgärdats för länge sedan i ett samhälle som prioriterar de mest sårbara.,The pandemic has exposed known neglects of health care and care for the elderly that should have been addressed long ago in a society that prioritises the most vulnerable.,2,1,
122,Jimmie Åkesson (SD),0,Ambiguous,0,SUBJECTIVE,Många människor har betalat omätbara personliga pris.,Many people have paid immeasurable personal price.,3,1,
123,Jimmie Åkesson (SD),1,,1,,Att skydda liv och hälsa med ändamålsenliga åtgärder har under pandemin varit Sverigedemokraternas högsta prioritering.,Protecting life and health with appropriate measures has been the Sweden Democrats&#39; highest priority during the pandemic.,0,2,
124,Jimmie Åkesson (SD),0,,0,,Det är klädsamt att ha respekt för att avvägningarna i krisens dimma sällan är lätta och att känna ödmjukhet inför dem som bär det tyngsta ansvaret.,It is important to have respect for the fact that the trade-offs in the fog of the crisis are seldom easy and to feel humble in front of those who bear the heaviest responsibility.,1,2,
125,Jimmie Åkesson (SD),0,,1,COMPLEX,Men krisen prövar också vårt demokratiska funktionssätt och vår rättsstat.,But the crisis is also testing our democratic functioning and the rule of law.,0,3,
126,Jimmie Åkesson (SD),0,,0,,"Lika viktigt som det är att fatta beslut om stränga åtgärder när nöden kräver, lika viktigt är det att avstå när vågskålen tippar tillbaka.","As important as it is to decide on strict measures when the need arises, it is just as important to refrain when the scales tip back.",1,3,
127,Jimmie Åkesson (SD),1,,1,,Enligt den tillfälliga pandemilagen har regeringen getts extraordinär delegation att besluta om särskilda begränsningar av enskildas fri- och rättigheter.,"According to the temporary pandemic law, the government has been given an extraordinary delegation to decide on special restrictions on the freedoms and rights of individuals.",0,4,
128,Jimmie Åkesson (SD),1,,1,,Det är ett avsteg från grundlagens utgångspunkt att sådana inskränkningar måste ske genom lagstiftning av de folkvalda i Sveriges riksdag.,It is a departure from the starting point of the constitution that such restrictions must take place through legislation by the elected representatives in the Swedish Parliament.,1,4,
129,Jimmie Åkesson (SD),1,,1,,Men pandemilagen ger inte regeringen gränslös befogenhet.,But the pandemic law does not give the government unlimited power.,0,5,
130,Jimmie Åkesson (SD),1,,1,,Lagens ordalydelse ger inte stöd för att beslut om restriktioner är tillåtna för något annat syfte än att stoppa spridningen av covid-19.,The wording of the law does not support that decisions on restrictions are permitted for any purpose other than to stop the spread of covid-19.,1,5,
131,Jimmie Åkesson (SD),1,,0,OPINION,De måste därutöver anses vara nödvändiga för ett sådant syfte.,"In addition, they must be considered necessary for such a purpose.",2,5,
132,Jimmie Åkesson (SD),1,,0,OPINION,Proportionalitetsprövningen ska dessutom göras utifrån en fara för människors liv och hälsa.,The proportionality test must also be made on the basis of a danger to human life and health.,3,5,
133,Jimmie Åkesson (SD),1,,1,,"Regeringen har själv uttalat de här motiven, att en koppling behövs mellan begränsningen och den eftersträvade effekten på smittspridningen samt att föreskrifter och beslut inte får gälla längre än vad som är absolut nödvändigt.","The Government itself has stated these motives, that a connection is needed between the restriction and the desired effect on the spread of infection and that regulations and decisions may not apply for longer than is absolutely necessary.",0,6,
134,Jimmie Åkesson (SD),1,,1,,Beslut om restriktioner kan vara mycket ingripande i förhållande till enskilda.,Decisions about restrictions can be very intrusive in relation to individuals.,0,7,
135,Jimmie Åkesson (SD),0,,0,,Något utrymme för extensiv tillämpning av den normgivningskompetens som riksdagen gett regeringen kan enligt Sverigedemokraterna inte komma i fråga på ett sådant område.,"According to the Sweden Democrats, no scope for extensive application of the norm-setting competence that the Riksdag has given the government can be considered in such an area.",1,7,
136,Jimmie Åkesson (SD),0,,1,FUTURE,Vi kommer därför att begära att konstitutionsutskottet granskar om de regeringsbeslut om restriktioner som har fattats under vintern har legat inom regeringens normgivningskompetens enligt pandemilagen eller om dessa borde ha underställts riksdagens prövning genom proposition.,We will therefore request that the Constitution Committee examine whether the government decisions on restrictions made during the winter have been within the Government&#39;s norm-setting competence under the Pandemic Act or whether these should have been submitted to the Riksdag&#39;s review by bill.,2,7,
137,Jimmie Åkesson (SD),1,,1,,För det första: Den 23 november fattade övergångsregeringen Löfven beslut om krav på vaccinationsbevis för deltagande vid bland annat offentliga tillställningar.,"First: On 23 November, the transitional government Löfven decided on requirements for vaccination certificates for participation in, among other things, public events.",0,8,
